question_id,desc_id,given_info,question,answer,meta,reasoning
1,alarm-mediation-det-counterfactual-model148-spec0-q0,We know that alarm set by husband causes alarm set by wife. alarm set by husband or alarm set by wife causes ringing alarm.,Would the alarm rings the next morning if alarm not set by husband instead of alarm set by husband?,no,"{'story_id': 'alarm', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=0} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 148}","{'step0': 'Let X = husband; V2 = wife; Y = alarm clock.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=0} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nY = X or V2', 'step5': 'Y = 0 = 0 or 0', 'end': '0'}"
2,alarm-mediation-det-counterfactual-model148-spec0-q1,We know that alarm set by husband causes alarm set by wife. alarm set by husband or alarm set by wife causes ringing alarm.,Would the alarm doesn't ring the next morning if alarm not set by husband instead of alarm set by husband?,yes,"{'story_id': 'alarm', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=0} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 148}","{'step0': 'Let X = husband; V2 = wife; Y = alarm clock.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=0} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nY = X or V2', 'step5': 'Y = 0 = 0 or 0', 'end': '1'}"
3,alarm-mediation-det-counterfactual-model148-spec0-q2,We know that alarm set by husband causes alarm set by wife. alarm set by husband or alarm set by wife causes ringing alarm.,Would the alarm rings the next morning if alarm set by husband instead of alarm not set by husband?,yes,"{'story_id': 'alarm', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=1} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 148}","{'step0': 'Let X = husband; V2 = wife; Y = alarm clock.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=1} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nY = X or V2', 'step5': 'Y = 1 = 1 or 1', 'end': '1'}"
4,alarm-mediation-det-counterfactual-model148-spec0-q3,We know that alarm set by husband causes alarm set by wife. alarm set by husband or alarm set by wife causes ringing alarm.,Would the alarm doesn't ring the next morning if alarm set by husband instead of alarm not set by husband?,no,"{'story_id': 'alarm', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=1} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 148}","{'step0': 'Let X = husband; V2 = wife; Y = alarm clock.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = X\nY = X or V2', 'step5': 'Y = 1 = 1 or 1', 'end': '0'}"
5,alarm-mediation-det-counterfactual-model149-spec1-q0,We know that alarm set by husband causes alarm not set by wife. alarm set by husband and alarm set by wife causes ringing alarm.,Would the alarm rings the next morning if alarm not set by husband instead of alarm set by husband?,no,"{'story_id': 'alarm', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=0} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 149}","{'step0': 'Let X = husband; V2 = wife; Y = alarm clock.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=0} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = not X\nY = X and V2', 'step5': 'Y = 0 = 0 and 1', 'end': '0'}"
6,alarm-mediation-det-counterfactual-model149-spec1-q1,We know that alarm set by husband causes alarm not set by wife. alarm set by husband and alarm set by wife causes ringing alarm.,Would the alarm doesn't ring the next morning if alarm not set by husband instead of alarm set by husband?,yes,"{'story_id': 'alarm', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=0} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 149}","{'step0': 'Let X = husband; V2 = wife; Y = alarm clock.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=0} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = not X\nY = X and V2', 'step5': 'Y = 0 = 0 and 1', 'end': '1'}"
7,alarm-mediation-det-counterfactual-model149-spec1-q2,We know that alarm set by husband causes alarm not set by wife. alarm set by husband and alarm set by wife causes ringing alarm.,Would the alarm rings the next morning if alarm set by husband instead of alarm not set by husband?,no,"{'story_id': 'alarm', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=1} = 1 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 149}","{'step0': 'Let X = husband; V2 = wife; Y = alarm clock.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=1} = 1 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = not X\nY = X and V2', 'step5': 'Y = 0 = 1 and 0', 'end': '0'}"
8,alarm-mediation-det-counterfactual-model149-spec1-q3,We know that alarm set by husband causes alarm not set by wife. alarm set by husband and alarm set by wife causes ringing alarm.,Would the alarm doesn't ring the next morning if alarm set by husband instead of alarm not set by husband?,yes,"{'story_id': 'alarm', 'graph_id': 'mediation', 'given_info': {}, 'formal_form': 'Y_{X=1} = 0 | ', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 149}","{'step0': 'Let X = husband; V2 = wife; Y = alarm clock.', 'step1': 'X->V2,X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | ', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = not X\nY = X and V2', 'step5': 'Y = 0 = 1 and 0', 'end': '1'}"
9,candle-fork-det-counterfactual-model150-spec0-q0,We know that blowing out the candle or candle with wax causes dark room. We observed the candle is out of wax.,Would the room is dark if not blowing out the candle instead of blowing out the candle?,no,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 0}, 'formal_form': 'Y_{X=0} = 1 | V2=0', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 1, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 150}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=0} = 1 | V2=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 0\nY = X or V2', 'step5': 'Y = 0 = 0 or 0', 'end': '0'}"
10,candle-fork-det-counterfactual-model150-spec0-q1,We know that blowing out the candle or candle with wax causes dark room. We observed the candle is out of wax.,Would the room is bright if not blowing out the candle instead of blowing out the candle?,yes,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 0}, 'formal_form': 'Y_{X=0} = 0 | V2=0', 'treatment': 'X', 'outcome': 'Y', 'action': 0, 'polarity': 0, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 150}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=0} = 0 | V2=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 0\nY = X or V2', 'step5': 'Y = 0 = 0 or 0', 'end': '1'}"
11,candle-fork-det-counterfactual-model150-spec0-q2,We know that blowing out the candle or candle with wax causes dark room. We observed the candle is out of wax.,Would the room is dark if blowing out the candle instead of not blowing out the candle?,yes,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 0}, 'formal_form': 'Y_{X=1} = 1 | V2=0', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 1, 'groundtruth': 1, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 150}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 1 | V2=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 0\nY = X or V2', 'step5': 'Y = 1 = 1 or 0', 'end': '1'}"
12,candle-fork-det-counterfactual-model150-spec0-q3,We know that blowing out the candle or candle with wax causes dark room. We observed the candle is out of wax.,Would the room is bright if blowing out the candle instead of not blowing out the candle?,no,"{'story_id': 'candle', 'graph_id': 'fork', 'given_info': {'V2': 0}, 'formal_form': 'Y_{X=1} = 0 | V2=0', 'treatment': 'X', 'outcome': 'Y', 'action': 1, 'polarity': 0, 'groundtruth': 0, 'query_type': 'det-counterfactual', 'rung': 3, 'model_id': 150}","{'step0': 'Let V2 = the candle; X = the man in the room; Y = room.', 'step1': 'X->Y,V2->Y', 'step2': 'Y_{X=1} = 0 | V2=0', 'step3': 'Solve for Y, given the evidence and the action', 'step4': 'V2 = 0\nY = X or V2', 'step5': 'Y = 1 = 1 or 0', 'end': '0'}"
