ids,given_info,question,ground truth,answer,match
417,"The overall probability of male gender is 55%. For individuals who are not male, the probability of being allergic to peanuts is 53%. For individuals who are male, the probability of being allergic to peanuts is 37%.",Is being allergic to peanuts less likely than not being allergic to peanuts overall?,yes,no,FALSE
836,"For people served by a local water company, the probability of being allergic to peanuts is 62%. For people served by a global water company, the probability of being allergic to peanuts is 53%. For people served by a local water company, the probability of clean water is 25%. For people served by a global water company, the probability of clean water is 63%.",Will clean water increase the chance of being allergic to peanuts?,no,no,TRUE
304,"For people who do not speak english, the probability of high salary is 28%. For people who speak english, the probability of high salary is 57%.",Will speaking english increase the chance of high salary?,yes,yes,TRUE
162,The overall probability of playing card games is 2%. The probability of not playing card games and tanned skin is 23%. The probability of playing card games and tanned skin is 2%.,Is the chance of tanned skin larger when observing playing card games?,yes,yes,TRUE
551,"For nonsmokers and are lazy, the probability of curly hair is 41%. For nonsmokers and are hard-working, the probability of curly hair is 81%. For smokers and are lazy, the probability of curly hair is 26%. For smokers and are hard-working, the probability of curly hair is 84%. For nonsmokers, the probability of being hard-working is 42%. For smokers, the probability of being hard-working is 17%.",Does smoking negatively affect curly hair through effort?,yes,no,FALSE
642,"The overall probability of being able to swim is 51%. For patients who cannot swim, the probability of recovery is 66%. For patients who can swim, the probability of recovery is 24%.",Is recovery more likely than non-recovery overall?,no,no,TRUE
574,"For people who do not like spicy food, the probability of long lifespan is 86%. For people who like spicy food, the probability of long lifespan is 57%.",Will liking spicy food increase the chance of long lifespan?,no,no,TRUE
342,"The overall probability of being able to swim is 17%. For students who cannot swim, the probability of being hard-working is 2%. For students who can swim, the probability of being hard-working is 2%.",Is being hard-working more likely than being lazy overall?,no,no,TRUE
223,"The overall probability of drinking coffee is 97%. For people who do not drink coffee, the probability of smallpox survival is 42%. For people who drink coffee, the probability of smallpox survival is 48%.",Is smallpox survival less likely than smallpox death overall?,yes,yes,TRUE
81,"For people who do not like spicy food, the probability of the prisoner's death is 50%. For people who like spicy food, the probability of the prisoner's death is 75%.",Will liking spicy food decrease the chance of the prisoner's death?,no,no,TRUE
302,Method 1: We look at how ability to speak english correlates with salary case by case according to skill. Method 2: We look directly at how ability to speak english correlates with salary in general.,"To understand how ability to speak english affects salary, is it more correct to use the Method 1 than Method 2?",no,no,TRUE
111,"The overall probability of rainy season is 16%. For people in the dry season, the probability of high rainfall is 36%. For in the rainy season, the probability of high rainfall is 46%.",Is high rainfall less likely than low rainfall overall?,yes,yes,TRUE
50,"For people who do not have a brother and directors who don't sign termination letters, the probability of employee being fired is 14%. For people who do not have a brother and directors who sign termination letters, the probability of employee being fired is 44%. For people who have a brother and directors who don't sign termination letters, the probability of employee being fired is 49%. For people who have a brother and directors who sign termination letters, the probability of employee being fired is 85%. For people who do not have a brother, the probability of director signing the termination letter is 42%. For people who have a brother, the probability of director signing the termination letter is 57%.","For people who have a brother, would it be more likely to see employee being fired if the person did not have a brother?",no,no,TRUE
