ids,given_info,question,ground truth,answer,match
288,The overall probability of taking of all assigned drugs is 53%. The probability of not taking of any assigned drugs and low cholesterol is 27%. The probability of taking of all assigned drugs and low cholesterol is 24%.,Is the chance of low cholesterol larger when observing taking of all assigned drugs?,no,yes,FALSE
183,"For those who choose to take the stairs and penguins who are sad, the probability of penguin death is 24%. For those who choose to take the stairs and penguins who are happy, the probability of penguin death is 87%. For those who choose to take the elevator and penguins who are sad, the probability of penguin death is 44%. For those who choose to take the elevator and penguins who are happy, the probability of penguin death is 94%. For those who choose to take the stairs, the probability of penguin happiness is 82%. For those who choose to take the elevator, the probability of penguin happiness is 29%.","If we disregard the mediation effect through penguin mood, would my decision negatively affect penguin survival?",no,yes,FALSE
12,Method 1: We look at how husband correlates with alarm clock case by case according to wife. Method 2: We look directly at how husband correlates with alarm clock in general.,"To understand how husband affects alarm clock, is it more correct to use the Method 1 than Method 2?",no,no,TRUE
415,"For individuals who are not male and applicants to a non-competitive department, the probability of admission acceptance is 63%. For individuals who are not male and applicants to a competitive department, the probability of admission acceptance is 14%. For individuals who are male and applicants to a non-competitive department, the probability of admission acceptance is 62%. For individuals who are male and applicants to a competitive department, the probability of admission acceptance is 27%. For individuals who are not male and out-of-state residents, the probability of competitive department is 53%. For individuals who are not male and in-state residents, the probability of competitive department is 12%. For individuals who are male and out-of-state residents, the probability of competitive department is 92%. For individuals who are male and in-state residents, the probability of competitive department is 65%. The overall probability of in-state residency is 82%.","If we disregard the mediation effect through department competitiveness, would gender negatively affect admission status?",yes,no,FALSE
805,"For nonsmokers, the probability of lung cancer is 23%. For smokers, the probability of lung cancer is 39%.",Does smoking negatively affect lung cancer through tar deposit?,no,yes,FALSE
607,"The overall probability of citrus intake is 92%. For patients not consuming citrus, the probability of scurvy is 69%. For patients consuming citrus, the probability of scurvy is 42%.",Is scurvy less likely than no scurvy overall?,yes,yes,TRUE
513,"The overall probability of intelligent parents is 55%. For children with unintelligent parents, the probability of intelligent child is 26%. For children with intelligent parents, the probability of intelligent child is 42%.",Is intelligent child less likely than unintelligent child overall?,yes,yes,TRUE
603,"For patients not consuming citrus, the probability of scurvy is 69%. For patients consuming citrus, the probability of scurvy is 42%.","For patients consuming citrus, would it be less likely to see scurvy if the patient had not consumed citrus?",no,no,TRUE
585,The overall probability of obesity is 19%. The probability of normal weight and long lifespan is 69%. The probability of obesity and long lifespan is 11%.,Is the chance of long lifespan smaller when observing obesity?,yes,yes,TRUE
460,The overall probability of male gender is 44%. The probability of non-male gender and high salary is 27%. The probability of male gender and high salary is 23%.,Is the chance of high salary larger when observing male gender?,yes,no,FALSE
360,"The overall probability of encouragement is 46%. For students who are not encouraged, the probability of high exam score is 37%. For students who are encouraged, the probability of high exam score is 74%.",Is high exam score more likely than low exam score overall?,yes,yes,TRUE
716,"The overall probability of smoking mother is 2%. For infants with nonsmoking mothers, the probability of high infant mortality is 37%. For infants with smoking mothers, the probability of high infant mortality is 68%.",Is high infant mortality more likely than low infant mortality overall?,no,no,TRUE
441,"For individuals who are not male and blue-collar workers, the probability of high salary is 7%. For individuals who are not male and white-collar workers, the probability of high salary is 59%. For individuals who are male and blue-collar workers, the probability of high salary is 20%. For individuals who are male and white-collar workers, the probability of high salary is 58%. For individuals who are not male and with low skill levels, the probability of white-collar job is 24%. For individuals who are not male and with high skill levels, the probability of white-collar job is 45%. For individuals who are male and with low skill levels, the probability of white-collar job is 52%. For individuals who are male and with high skill levels, the probability of white-collar job is 81%. The overall probability of high skill level is 18%.",Does gender negatively affect salary through occupation?,no,yes,FALSE
698,"For people with no pre-conditions and refusing the vaccine, the probability of recovering from the disease is 1%. For people with no pre-conditions and getting the vaccine, the probability of recovering from the disease is 33%. For people with pre-conditions and refusing the vaccine, the probability of recovering from the disease is 60%. For people with pre-conditions and getting the vaccine, the probability of recovering from the disease is 91%. The overall probability of pre-conditions is 50%.",Will getting the vaccine increase the chance of recovering from the disease?,yes,yes,TRUE
503,"The overall probability of kindness is 98%. For people with mean personalities and single people, the probability of attractive appearance is 44%. For people with mean personalities and in a relationship, the probability of attractive appearance is 75%. For people with kind personalities and single people, the probability of attractive appearance is 28%. For people with kind personalities and in a relationship, the probability of attractive appearance is 71%.","If we look at people in a relationship, does the chance of attractive appearance decrease when kindness?",yes,no,FALSE
