ids,given_info,question,ground truth,answer,MATCH
823,"The overall probability of smoking mother is 40%. For infants with nonsmoking mothers, the probability of normal infant birth weight is 28%. For infants with smoking mothers, the probability of normal infant birth weight is 63%.",Is normal infant birth weight less likely than low infant birth weight overall?,yes,no,FALSE
310,"The overall probability of college degree or higher is 84%. For people without a college degree, the probability of high salary is 40%. For people with a college degree or higher, the probability of high salary is 53%.",Is high salary more likely than low salary overall?,yes,no,FALSE
132,The overall probability of the camper lighting a match is 95%. The probability of the camper not lighting a match and the forest on fire is 4%. The probability of the camper lighting a match and the forest on fire is 62%.,Is the chance of the forest on fire larger when observing the camper lighting a match?,no,yes,FALSE
724,"For infants with nonsmoking mothers, the probability of high infant mortality is 70%. For infants with smoking mothers, the probability of high infant mortality is 42%.","For infants with smoking mothers, would it be more likely to see high infant mortality if the infant had a nonsmoking mother?",yes,no,FALSE
254,Method 1: We look at how medication correlates with heart condition case by case according to blood pressure. Method 2: We look directly at how medication correlates with heart condition in general.,"To understand how medication affects heart condition, is it more correct to use the Method 1 than Method 2?",no,no,TRUE
180,"For those who choose to take the stairs and penguins who are sad, the probability of penguin death is 92%. For those who choose to take the stairs and penguins who are happy, the probability of penguin death is 84%. For those who choose to take the elevator and penguins who are sad, the probability of penguin death is 37%. For those who choose to take the elevator and penguins who are happy, the probability of penguin death is 43%. For those who choose to take the stairs, the probability of penguin happiness is 52%. For those who choose to take the elevator, the probability of penguin happiness is 74%.",Does my decision positively affect penguin survival through penguin mood?,no,yes,FALSE
57,Method 1: We look at how manager correlates with employee case by case according to director. Method 2: We look directly at how manager correlates with employee in general.,"To understand how manager affects employee, is it more correct to use the Method 1 than Method 2?",yes,yes,TRUE
186,The overall probability of taking the elevator is 16%. The probability of taking the stairs and penguin death is 74%. The probability of taking the elevator and penguin death is 7%.,Is the chance of penguin death larger when observing taking the elevator?,no,yes,FALSE
350,"The overall probability of talent is 83%. For students who are not talented and rejected from elite institutions, the probability of being hard-working is 90%. For students who are not talented and accepted to elite institutions, the probability of being hard-working is 67%. For students who are talented and rejected from elite institutions, the probability of being hard-working is 84%. For students who are talented and accepted to elite institutions, the probability of being hard-working is 59%.","If we look at students accepted to elite institutions, does the chance of being hard-working increase when talent?",no,no,TRUE
532,"For nonsmokers, the probability of college admission is 43%. For smokers, the probability of college admission is 27%.",Will smoking increase the chance of college admission?,no,no,TRUE
