ids,given_info,question,ground truth,answer,MATCH
221,We know that male gender or in-state residency causes competitive department. male gender and in-state residency and competitive department causes admission acceptance. We observed the resident is in-state.,Would the applicant gets rejected if non-male gender instead of male gender?,yes,no,FALSE
350,We know that old age causes high hospital bill. old age and high hospital bill causes recovery. We observed the patient is old.,Would the patient recovers if high hospital bill instead of low hospital bill?,yes,yes,TRUE
151,We know that confounder active or assignment of drug treatment causes taking of all assigned drugs. confounder active or taking of all assigned drugs causes low cholesterol. We observed the patient is not assigned the drug treatment and confounder active.,Would the patient has high cholesterol if taking of all assigned drugs instead of not taking of any assigned drugs?,no,no,TRUE
394,We know that smoking mother or good health causes normal infant birth weight. smoking mother and good health and normal infant birth weight causes high infant mortality. We observed the person has poor health.,Would infant mortality is high if smoking mother instead of nonsmoking mother?,no,no,TRUE
194,We know that confounder active and close to a college causes college degree or higher. confounder active and college degree or higher causes high salary. We observed the person lives close to a college and confounder inactive.,Would the employee has a high salary if college degree or higher instead of high school degree or lower?,no,no,TRUE
72,We know that waking up late or heavy traffic causes arriving to school on time. We observed there is no traffic on the road.,Would Alice arrives at school on time if waking up on time instead of waking up late?,no,yes,FALSE
280,We know that obesity and smoker causes having diabetes. obesity and smoker and having diabetes causes long lifespan. We observed the person is a nonsmoker.,Would the person has a long lifespan if normal weight instead of obesity?,no,no,TRUE
284,We know that obesity and smoker causes having diabetes. obesity and smoker and having diabetes causes long lifespan. We observed the person is a smoker.,Would the person has a long lifespan if normal weight instead of obesity?,no,no,TRUE
388,We know that pre-conditions causes getting the vaccine. pre-conditions or getting the vaccine causes recovering from the disease. We observed the person has pre-conditions.,Would the person recovers from the disease if vaccine refusal instead of getting the vaccine?,yes,no,FALSE
262,We know that intelligent parents or confounder active causes high parental social status. intelligent parents or confounder active or high parental social status causes intelligent child. We observed confounder active.,Would the child is intelligent if intelligent parents instead of unintelligent parents?,yes,yes,TRUE
505,We know that high poverty and global water company causes clean water. high poverty or clean water causes cholera contraction. We observed the person is served by a global water company and the region has low poverty.,Would the person avoids cholera if polluted water instead of clean water?,yes,no,FALSE
429,We know that smoking gene and high pollution causes smoking. smoking gene and high pollution and smoking causes lung cancer. We observed the person lives in a place with high pollution.,Would the person has no lung cancer if nonsmoking gene instead of smoking gene?,yes,no,FALSE
482,We know that high poverty or global water company causes clean water. high poverty or clean water causes cholera contraction. We observed the person is served by a local water company and the region has low poverty.,Would the person gets cholera if clean water instead of polluted water?,yes,no,FALSE
391,We know that pre-conditions causes getting the vaccine. pre-conditions or getting the vaccine causes recovering from the disease. We observed the person has pre-conditions.,Would the person dies from the disease if getting the vaccine instead of vaccine refusal?,no,no,TRUE
407,We know that smoking mother and good health causes normal infant birth weight. smoking mother or good health or normal infant birth weight causes high infant mortality. We observed the person has good health.,Would infant mortality is low if smoking mother instead of nonsmoking mother?,no,no,TRUE
36,We know that CEO's decision to fire the employee causes manager signing the termination letter and director signing the termination letter. manager signing the termination letter and director signing the termination letter causes employee being fired. We observed the CEO decides to fire the employee.,Would the employee is fired if manager not signing the termination letter instead of manager signing the termination letter?,no,no,TRUE
203,We know that encouragement causes lack of studying. encouragement and studying hard causes high exam score.,Would the student has a low exam score if encouragement instead of discouragement?,yes,no,FALSE
69,We know that the camper lighting a match or the chain-smoker lighting a match causes the forest on fire. We observed the chain-smoker lights a match.,Would the forest doesn't burn down if the camper not lighting a match instead of the camper lighting a match?,no,no,TRUE
470,We know that confounder active and high cigarette tax causes smoking mother. confounder active and smoking mother causes normal infant birth weight. We observed the cigarette tax is low and confounder active.,Would the infant is born with a normal weight if smoking mother instead of nonsmoking mother?,yes,no,FALSE
114,We know that vaccination causes having smallpox and severe vaccination reaction. having smallpox and severe vaccination reaction causes smallpox survival.,Would the person survives smallpox if vaccination instead of lack of vaccination?,yes,yes,TRUE
107,We know that taking the elevator causes penguin happiness. taking the elevator and penguin happiness causes penguin death.,Would the penguin lives if taking the elevator instead of taking the stairs?,no,no,TRUE
371,We know that large kidney stone causes receives treatment. large kidney stone or receives treatment causes recovery. We observed the patient has a small kidney stone.,Would the patient doesn't recover if receives treatment instead of receives no treatment?,no,no,TRUE
304,We know that increased demand or increased yield per acre causes increased supply. increased demand or increased supply causes increased price. We observed the farm has an increased yield per acre and the demand is low.,Would there is an increased price if reduced supply instead of increased supply?,no,no,TRUE
208,We know that male gender causes non-competitive department. male gender and competitive department causes admission acceptance.,Would the applicant gets admitted if non-male gender instead of male gender?,no,no,TRUE
362,We know that large kidney stone causes receives no treatment. large kidney stone or receives treatment causes recovery. We observed the patient has a small kidney stone.,Would the patient does recover if receives treatment instead of receives no treatment?,yes,yes,TRUE
322,We know that increased demand and increased yield per acre causes increased supply. increased demand and increased supply causes increased price. We observed the farm has an increased yield per acre and the demand is low.,Would there is an increased price if increased supply instead of reduced supply?,no,no,TRUE
75,We know that waking up late or heavy traffic causes arriving to school on time. We observed there is no traffic on the road.,Would Alice arrives at school late if waking up late instead of waking up on time?,no,yes,FALSE
22,We know that blowing out the candle and candle with wax causes dark room. We observed the candle has wax.,Would the room is dark if blowing out the candle instead of not blowing out the candle?,yes,yes,TRUE
2,We know that alarm set by husband causes alarm set by wife. alarm set by husband or alarm set by wife causes ringing alarm.,Would the alarm rings the next morning if alarm set by husband instead of alarm not set by husband?,yes,yes,TRUE
214,We know that male gender causes competitive department. male gender and competitive department causes admission acceptance.,Would the applicant gets admitted if male gender instead of non-male gender?,yes,yes,TRUE
,,,,,21
